レビュー文, スコア
本作を作った人たちはキャメロン以上に州知事のポテンシャルを理解していたんだなぁと感心します, 59.178748
が、何よりジョニー・デップという役者によって、そんな脚本のセンスが完璧に作品上で表現され、決定づけられていることに感じ入った次第, 58.860739
ジャン・レノの悪役っぷりも良かったし、ワクワクドキドキ、ハラハラウキウキ、アクション映画の正しいステップを正しく踏んだ、良作だと思う, 58.687152
昔のテレビ版の頭脳プレイが全くみられず、アクション重視で００７のアメリカ版といった感じ, 58.228310
アクションシーンはそこそこ楽しめたが、内容の難解さが私にはさっぱり理解できず、ラストのどんでん返しもいまひとつ理解できなかった, 58.035654
加えて、ジョニー・デップの当然のごとくの曲者ぶり、アカデミー賞俳優ジェフリー・ラッシュの怪演に圧倒される, 56.852447
デパルマらしい映像の妙も冴えていますし、ジャン・レノもスパイスでナイス存在感でした, 56.824545
もう何度もテレビでやっていますが何回とうして見てみると凄く面白いアクション映画ですよ, 56.472299
主演のデンゼル・ワシントンは、何と同監督作品の主演が今作で5作目ということで、ある意味余裕の存在感を見せてくれており、気難しくも人徳のあるベテラン機関士を好演している, 56.462852
ジャン・レノ格好良かったちと理解すんのに難しかったけどギリでわかっためちゃんこおもろいですちなみに２は画だけですおもしろい, 56.160926
ガシャッ、ガシャッと装備を身につけるかっこよすぎるシーン（今ではアクション映画の定番ですが、これをはじめてやったのは本作ではないでしょうか, 55.844307
テンポの速いストーリー展開や、トム・クルーズの快演に、とても楽しめた良作です, 54.355446
この映画観て印象に残ってるといえば、Ｅ・ベアールが意外とちゃんと情感の伝わる良い演技が出来る女優さんだったんだなあ、と掘り出し物当てた気分になったことと、Ｊ・レノの存在感の薄さにやっぱり、と思ったこと, 53.880929
いやァジョニーデップがかっこいいねえ、ファッションといい、立ち振る舞いといい、コミカルでクールで色気あって魅力満載です, 52.989550
CG全盛の現代じゃ、この程度のアクションシーンではスリルもスピードもイマイチ, 52.740393
奪った服、奪ったバイク、奪ったショットガンなどなど、奪ったものシリーズがどれもシュワちゃんのターミネーターというキャラクターをうまく格好よく飾ってていいです, 52.162905
単なるアクション映画にとどまらず、綿密に描かれたストーリー、ユーモア、登場人物の心情描写など映画の魅力を存分に楽しめる傑作, 51.927730
ジョニーデップがほんとにかっこ良かったし、あの役に合ってた, 51.915782
小道具で見せるのがスパイ物の醍醐味だからそう言ったあたりでは２よりこっちのほうが好きだなぁスリルがあって面白かったけどハイテク防衛システムを突破するとこだけが見ものかな, 50.220449
列車でのアクションは今見るとやや厳しいが、他の部分はかなり高いレベルでまとまってる, 48.681059
何にせよジョニー・デップ扮するジャックがものスゴク魅力的で惚れました～, 48.640041
アクションあり、感動ありでほんと最高です, 48.046484
それなりに迫力あって、スリリングで、映画館で見た方が絶対いいのは頷けるんだけど、トム・クルーズばっかり目立ってたのは・・・, 47.994475
ジョニ－・デップ演じる、ジャック・スパロウが面白くも有り、かっこよくも有り、私的にツボだったので９点, 47.132974
Ｊ・マクティアナンの“１０年に一度の奇跡”とも言えるこの作品での緩急自在の演出は、タイトルが出る前から伏線が張られるという冒頭から、ラストの大団円まで冴えまくります, 46.805041
それに昭和３０年代の初期日本でジャズを歌って紅白にも出た日系二世歌手のジェームス繁田、とうの昔にアメリカに帰ったと聞いたが、あの日本人社長役で, 46.641115
ただ２も３も好きだけど、３で最後に汽車がタイム・マシーンにしちゃったのはちょっと子供ながらになんか納得いかなかったな～ナイス映画, 46.016692
これぞ娯楽大衆映画の決定版、公開当時２度劇場に足を運びました, 45.775617
と一本通っていて、デ･パルマらしいフェティッシュな映像テクニックの楽しさにはちょっと欠けていたけれど、凡百のアクション映画との格の違いを感じました, 45.758404
ブルース・ウィルスのはまり役で、アクションものでもトップクラス, 45.258073
ジョニー・デップがもうダントツで際立っており、ファンには大満足でした, 45.216256
どう考えてもM:I-２の方がいいが、ジャン・レノといった大物がでているのはいい, 44.844820
初見時は、僕自身の映画に対する知識量が少なかったこともあり、キャスティングの巧さを今ひとつ感じられていなかったが、映画冒頭から登場する主人公チームの面々が豪華だ, 44.257739
それまでコメディ専門だとばかり思っていたブルース・ウィリスがいきなりアクションやっててびっくりした作品, 43.755924
先に２を観て後で１を観てしまった人が多いらしいが、その点は本当にたまたまタイミングが良かった, 43.370621
監督の作風、映像センスなどは一切関係なく、シュワルツェネッガーの存在のみで押しまくるこのスタイルこそシュワちゃん映画の基本要素である, 42.737355
今まで何度も観てきたんですが、１を観ていなかったため意味不明なとこが多かった, 42.675155
この頃のこの監督のアクション物はホントに面白い物ばかりだったのに・・・, 42.133459
ストーリー、伏線、登場人物、そして上映時間、これらすべてが２時間枠の映画放送にピッタリ当てはまるような作品です, 41.889984
音楽が良い８０年代アクション映画ではベストの作品, 41.491970
蛍光の白色と放射状の黒線、これにショートカット（この髪の刈り方はもータマラナイデスゥ）＆眼鏡のトム君を見た日の夜はそれは心地よく眠れますです, 41.480743
が、終盤の列車上であんなアクションできるのはルパン三世ぐらいしか認められん, 41.246172
上映が終って場内が明るくなりかけた時に後ろの席で見ていた４，５人づれのねーちゃんの内一人が「私これで２回目よ, 41.183064
ジョニーデップが面白くって映画館で爆笑でした, 40.235948
とにかくジョニー・デップがのびのびと才能豊かで、こっちまで陽気になりました, 40.235948
これは今まで見たアクションの中で一番楽しいね, 40.171605
最近のアクション映画と比べたらさすがにスケールの違いを感じますが、当時としてはとても楽しめた作品です, 39.952016
さて本作ですが、映画中盤、列車の暴走の模様がテレビ中継によって描写されていくのが、いささか要領良過ぎるようで、何だかチャッカリしてる気もしたのですが、実はコレも意味がありそう, 39.787109
シュワちゃんが最後に溶岩のなかに飛び込んだ時が最も感動した, 39.431131
こういう映画は長くてもいいからじっくりじっくり話が進んで欲しい一番最初、パーティー会場でミッションを遂行するあたりの雰囲気はスパ大ファンとしても楽しめる, 39.364034
ロープであーだこーだたってるとこはなかなかのスリリングでよし、でも、トムクルーズあんまし好きじゃないな, 39.019552
どいつもこいつも弱過ぎだし、シュワはさぞゴキゲンだったかもしれないが、シュワの武勇談か自慢話を延々と聞かされてるみたいで正直ウンザリだった, 38.742365
基本的にこの手の映画はあまり好きではないんですが、（アクション、ＣＧ）この映画だけは特別, 38.674939
ジョニー・ディップの海賊役はなかなか愛嬌があって良かったけど、ストーリーが, 38.565855
CGなしでもここまで見せられるアクションという点で、映画作品としては満足, 38.538451
この辺りの盛り上がりは、アクション映画としての本作の正しさを証明しています, 38.505040
それは、20年という時を経ても色褪せない普遍的な“巧さ”によるところが大きく、それは即ち今作の監督であるブライアン・デ・パルマの流石の手腕によるものであることを、今更ながらに思い知った, 38.351210
「燃えよドラゴン」のテーマ曲も書いたラロ・シフリンによる原曲は、ダニー・エルフマンのアレンジで、重厚感が増し、よりインパクトのある楽曲となっていて、素敵だ, 38.286081
ストーリーも大好きですが、ドクとマーティーの友情や巡り合わせが作品の中でいきいきしていて、何度見ても面白いし、今見ても色あせてない作品だと思います, 38.211813
トムはかっこよかったしベアールは色っぽい、バネッサ・レッドグレイブやJ・ボイドも懐かしくて楽しめた, 38.199821
しかしジャン・レノってネズミ顔ですよねぇ（爆）この手の話はあんまり好きじゃない, 37.944657
重量感は十分出てるしクラッシュシーンなど手に汗握る、映像は迫力があり満足できる, 37.700250
アクションの凄さもこの二人のおかげでこの評価になりました・・, 36.994351
映画館で見たらド迫力だったろうに・・・これ以上のアクションはないっす, 36.815584
いつものビジュアルセンスはもちろん健在で、他の監督が撮っていれば単調になったであろう本作の見せ場も、スコットの手腕によってかっこいい場面の連続に, 36.791134
最初の仲間たちが殺されていく展開から面白いのだが、その展開が早い段階で訪れてしまい、それぞれの個性があまり発揮されないまま退場してしまった仲間が多かったのがちょっと残念だった, 36.710356
いかにも続編を作りますといったラストが－１点、当時はチョー感動しました, 36.485285
サラとジョンを最後まで守り切る所や、最後のシーンなんかはとてもカッコ良かった, 36.110281
僕の中ではアクション映画の王道をゆく作品です, 35.979311
最初見たときは、映画館だったせいもあるし、大分前だから、すんごい迫力だったけど、改めて今見ると、CGがちょっとウサンクサイ気がした, 35.914106
それでも、まだ初作である本作には、オリジナルへのオマージュが垣間見られ、本来あるべき「ミッション・インポッシブル」としての娯楽性をまだうっすら残している, 35.686448
最後はよく分からんかったが、何回も見直す内に感動した, 35.096538
この映画の時空の空間の仕組みを考えてハリーポッターのアズカバンの囚人をみるとハリーがハリーを見たことは元のストーリーはどんなことになっているのか考えると私の頭がおかしくなっちゃいますねとにかく楽しい, 34.349044
IMF職員が乗り込んでくるシーンで一瞬だけ映るフェアベルクの掃除機を見て、「あの掃除機ウチのとおんなじなんだよ～」と嬉しそうにテレビを指差していた母, 34.131081
怖がり、共感し、泣ける、アクション映画の模範的存在, 34.123013
アクションもそこそこよかったが、それよりもマクレーン刑事のキャラクターが面白かった, 34.123013
ジョン・ヴォイト、相当おっちゃんやのにアクション頑張ってたなあ, 34.086874
これ以降のアクションもので、私を満足させてくれる作品は全く出ていません, 33.815498
J・キャメロンもこういう映画ばっかりだったらいいのだけど…自分が今まで見た米エンターテイメント映画の中では最高の作品, 33.799204
ただ今回シリーズ最新作の公開を前に改めて観直してみると、娯楽映画としての味わい深さを随所に感じることが出来た, 33.535024
まぁ、ドキドキ感が少ないとも言えるが・・・最後は大団円とわかっていても素直にドキドキ感を楽しめた, 33.530046
ストーリーにはひねりが足りないが、陽気で楽しく、最後の強引な決着の付け方も含めて、いかにもディズニーのお子様向け娯楽大作である, 33.071168
が、それを補って余りある迫力と疾走感で最後まで押し切る演出はさすが, 32.949999
そういう意味で、オリジナルのスパイ大作戦を念頭において見てしまうと、その醍醐味は、あまり得られない, 32.549216
ジェイソン観たのなんかＸとＶＳフレディ除けば小学生以来だったのですが当時は純粋にジェイソン怖いと思えたのが今では面白いと感じますね, 32.455808
一番気に入ったところは、メキシコあたりでのサラの、ジョンとターミネーターに対する心境の朗読, 32.345442
２０１０年冬季オリンピックのフィギュア、００７の音楽で韓国に金メダルを持っていかれたけど、まだこの音楽があるじゃないか, 32.227390
皆さん同様、キャプテン・ジャック・スパロウが、おとぼけだけどホントは頭の切れる、チャーミングでクールなキャラで光ってました、隈取りで金歯なのに・・・, 32.034836
推理、アクション、物語もそれなりに面白かった, 31.273463
本作最大の見せ場であり、以降のシリーズでも定番となる“床と平行スレスレ吊り”がたまらない, 31.154684
ただ出来そのものは前作より上（急激に技術が進歩しましたからね～）でしたが、１作目ほどのインパクトはなかったですね, 31.071112
Ｏｋです、銃撃戦とかシュワちゃんのエキスが十分でてますこれ程シュワルツェネッガーの肉体が説得力を持った映画はありません, 30.637248
作品の尺の長さの時間分だけ、主人公の機関士らを見守る脇役同様に、彼らの活躍をドキドキハラハラしながら見守り、最後に「イエーイ, 30.566401
列車の重厚感は伝わってくるものの終わらせ方がひどい, 30.345529
しかしあえて難を言うと１を観ていた方が遥かに面白いのと何故ここまで良い奴になったのか（１ではその素振りも見せず）ということ, 30.259503
アクションは少なめながらその分強烈、独創的, 30.069490
ストーリーは前作の方が怖かったのですが特殊映像が素晴らしかったので総合的には２の方が楽しめました, 30.026041
ただし、離れ合った登場人物達があっさり一堂に会してしまう大団円の記者会見は蛇足の感あり, 29.768283
ＣＧが当たり前になってしまった今、３０年後に観賞しても、きっと同じ感動を得ると思います, 29.587762
画面にジェイソンが映っているだけで評価が上がるので、内容は何のひねりもない最近のスプラッター映画って感じですが、それで充分です, 29.335023
ジャンレノも自分のイメージを大切にしてよ, 29.317756
このスパロウ船長のキャラクターの秀逸さは、新しいタイプの最高のヒーロー, 29.206920
あのスパイ大作戦を現代の技術で映像化するってのは、ほんとに楽しいですよね, 29.197709
タイムマシンものでも最高です細かく見ると、色々とつっこみたくなるが、そのへんを割り切って娯楽映画としてみれば非常に良くできており、面白い, 29.121420
いや～面白かったなぁ～やっぱシュワちゃんにはガトリングガンがやばいくらいに似合うッス１を見ないで見た私, 28.969882
シュワちゃんは、革ジャン、革パン、グラサン、ハーレー、散弾銃が、世界一似合ってて、それが見飽きさせないのかも, 28.557806
娯楽映画でありつつ、続編として確立した意味で本当に成功した一本だと思う, 28.374854
Ｔ－１０００のアイデア、プロット、音楽、どれをとっても最高です, 28.249807
だから大人になった自分は、そんな子供心があった自分を今でも覚えていられるのはそのとき出会った映画のおかげなんですよね, 28.242397
というのも、映画前半では「家族に“言葉”では気持ちが伝えられなかった」２人の主人公が、後半では、テレビという“映像”を通じることで家族との距離が縮まっていく、という、ちょいと洒落た仕掛けになっているのですね, 27.623779
ドラマを挿入するタイミングやその分量が本当に絶妙で、スコット兄やスピルバーグですらここまで巧くはできないでしょう, 27.539709
音楽が好き今まで見た映画の中でも最高に面白い映画の一つ, 27.491322
ジョニーが好きで観た映画だけど、主役のオーランドを食っちゃうくらいのかっこよさでした, 27.351643
公開当時に映画館で見たらえらい迫力で感動した覚えがあります, 27.215888
学生時代に映画館で見て、最近出たDVDでまた見たが、何度見ても痛快です, 27.158068
しかし、ラストのヘリコプター追跡のシーンなど、娯楽映画としてのレベルはなかなか高いと思いました, 27.077144
現代恐竜学の最新学説や分子生物学的手法を判りやすく示唆し、さすが層の厚い米国映画の誠実さだと感じいった, 26.643581
やっぱ、ラプターが天井目掛けて飛びあがるシーンと、T-REXがジープを追いかけてそれがミラーに映るシーンが一番印象深いです, 26.428204
往年のＴＶシリーズを現代に復活させるのに、最もうまい繋がり方を採用した、優れた脚本力だと思います, 26.360582
シュワが悪役やらんでカッコイイ味方アンドロイドなんて…笑っちゃうよ、全く, 26.296043
小学生のとき初めて見て感動し、それから何十回見てもいまだに私の１番の映画, 25.845873
その努力があってこその映像、スピード感演出は惚れ惚れする, 25.816043
ただそれよりも、20年の月日を経ても主人公としての立ち位置を揺るがすこと無く、格好良くあり続けていることは尊敬に値する, 25.800133
大きくなったらサラ・コナーになりたいと本気で思ってた…ターミネ―ター２大好きだ～～～, 25.723105
実話を元にしているとはいえ、娯楽大作としてはいささか地味過ぎるのではないかと思ったが、それが存分に堪能出来るエンターテイメントへと昇華されている, 25.682283
っていうか２の方では感動して泣きました, 25.578999
巨大な鉄の塊である機関車が画面にのしかかるように映る様は、3Dでなくとも映画ならではの迫力を体感できます, 25.495278
この映画をテレビで見た瞬間にエドワード・ファーロングくんが大好きになっちゃいましたっ☆それからは、何回も映画借りて見ちゃいましたっ, 25.486410
クライマックスに向けて計ったように盛り上がっていくテンポ作りも見事で、どんどんエスカレートしていく物語には手に汗握りっぱなしなのでした, 24.975087
その後テレビ放送で見てみて、その迫力がかなり減退していました・・・まぁ余りにも勧善懲悪的に過ぎるし、突っ込みどころも多々あるのかもしれませんが、エンターテインメント作品としては、少なくとももうしばらく命が続くのではないかと思います, 24.765362
第１作だけを一つの作品と見るかは個人の好き好きだが、私自身は３部作を一つの作品としてみたい, 24.611572
ドラマ的な部分が弱いのと、ラストがあっさりしているのがマイナス点ですが、そこを補えるパワーがあります, 24.513650
隣に彼女がいたので必死にガマンしましたけど…今まで生きてきた中で最高の映画, 24.471873
２回観てストーリーがちゃんとわかったら面白く感じた, 24.241944
当時は・・・ランボーもコマンド－も好きでした（笑）子供のただただ強いものに対する興味、憧れには訴えかけたなー, 23.898592
新型ターミネーターのアイデアは良いのだが、サラ・コナーのナレーションなど説教臭くなった, 23.723681
ョニー・デップの浮いた演技でかろうじて救われ, 23.695282
シリーズもので珍しく１を超えてましたね, 23.600415
邦画でも新幹線は「新幹線大爆破」以来なので、300kmで突っ走るのぞみの屋根で取っ組み合いとかいう映画が観てみたいです, 23.330638
ストーリーは確かにちょっとアレでしたが、初めて観た時の感動はかなりのものでした, 23.059262
その運命は既に未来で定められているのに・・・で、期待した２作目, 22.974233
と敬遠してたが意外とみなさんの評価が高かったので見てみたら予想してたのとは違う違う実話ベースのしっかりとした映画でいい意味で裏切られた, 22.958256
見せ場とドラマのバランスがほぼパーフェクトであり、神がかった職人芸を見ることができます, 22.755274
 ストーリーがわかりやすく、観ていて飽きないシナリオも完璧で尚且つテンポも最高, 22.639292
ラストのヘリで眠る子供たちを見て、笑みを浮かべるサム・ニールが印象深い, 22.576507
スティーブン・キングが製作に絡んだやつは長いばっかりであともう一歩・・・というもどかしい作品が多いんですが、本作はそうでもなく、満足できました, 22.484698
マイケル・Ｊ・フォックスが未来から来た「ドラえもん」で、親父が「のび太」で、いつも「ジャイアン」とその子分達にイジめられていて・・・っていう, 21.815267
シュワちゃんの鍛えられたボディー、それだけでも観賞に値する, 21.714589
最新の映像技術によって、ジェイソン・ボーヒーズを再びキャンプ場で暴れ回させてくれただけでももう言うことなしです, 21.592124
キャラクター、ストーリー、音楽、映像、全部が見事にマッチしていて、ドキドキ、ワクワク、ハラハラの連続, 21.403191
シュワやスタローンが活躍していたころだったよな, 21.373663
あのイーサンが信頼した黒人さんは元々イーサンと同じ組織の仲間だったんですか, 21.315735
今まで見てきた映画の中で最高の映画です, 21.252997
ほんっとうに面白かったです（笑）久しぶりに劇場で満腹感を味わえましたね, 21.206190
マクティアナン監督の勢いある演出はもちろんのこと、工夫を凝らした脚本が作品全体を盛り上げる, 21.145232
２が最高だっただけに三見るのがちょっと怖いです, 21.120535
ただただ超人のドンパチ、大爆発と車、飛行機、船のチェイス, 21.109697
自分はＳＦとか近未来とかの設定が絡むだけで拒絶反応を示しがちなんですが、この作品は数少ない面白いと思わせてくれる作品, 20.998861
勝因の大半は練り込まれたプロットの巧みさにありますが、有名俳優を一切使わず、個性派で固めたキャストも可成り貢献していると思います, 20.962386
トムの作品ではこれが一番じゃないですか, 20.922693
先日、ＴＶ放映をやっていたので久し振りに観たのだが、視聴環境が老人ホーム（職場）だったので、入居者のおばあちゃんたちがいちいち面白い反応をしてくれて笑えた, 20.910270
最初らへんは、追いかけられて怖かったりしたけど、最後は最高ですね, 20.883974
やっぱりディズニー、娯楽作品としては最高、飽きずに楽しめました, 20.722809
久しぶりに見ても、内容覚えてたし、それだけインパクトあったんだと思います♪皆若いけど、それでも映像とか今見ても良い感じ, 20.687954
ちなみに１を先に観ていて本当に良かった, 20.621460
そう、ヘリコプターが爆破し、新幹線ＴＧＶにしがみ付く・・・あのシーンを楽しみにしていた, 20.456573
僕はこういう銃撃戦が大好きです２０回は余裕で見たすばらしいオバカ映画です, 20.369917
登場人物のキャラクター、無駄のない脚本、プロットの周到さ、意外性…、とにかく面白い, 20.216519
この作品のおかげで、シュワファンになった, 20.158396
今までで最高の娯楽作, 20.086790
ダイハードシリーズの中では一番面白い, 20.006402
ラストのヘリで列車を追いかける所が良かった, 19.973818
Ｔ-1000のSFXは凄いし最後は泣けるしで大満足, 19.917650
映画の世界でそんな難題に挑み、奇跡的に満足できる商品を作ってしまったのが本作, 19.841186
味付けについて自由度の高いラーメンには名店も多くありますが、例えばそうめんで客を唸らせる味を作ってみろと言われれば、これはとんでもない難題です, 19.547800
タイムマシンというのを実現させたことに感動した, 19.360688
映像も俳優もＣＧも綺麗でよいのですが、ストーリーで納得いかない点が少しだけあるのが残念です, 19.346666
当時にしてのＣＧの凄さなどいろいろ言いたいことはあるが、この映画自分としては最高に笑える映画です, 19.345719
“スピルバーグが撮らなきゃ誰が撮る”といった、観客を驚かせることの好きな彼には格好の素材であり、まさに本領発揮といったところだろう, 19.005411
機会があれば、元祖のテレビシリーズを観てみたいものだ, 18.906360
かっこいいし、ちょい生意気っぽいのが、かなりいい♪それに、私的にクライマックスが、すごく感動します, 18.905600
Ｂ・ウィリスのランニング姿がものすごく似合っていた, 18.843251
まあ、敵とはいえ人を殺し過ぎですが、B級チックな作りが妙に暖かいところとか、割と好き, 18.700623
１の方が良かったので、それより低い評価としました, 18.699145
３回目でこれは傑作, 18.631402
日本人が金でブイブイ言わせてた時代・・・, 18.583969
さっさと見ようぜベイビー大、大、大、大感動, 18.537335
TVでやっても通常枠でカットなし完全版が見れるという短さがよいです, 18.482163
公開当時、恐竜大好き小僧だった僕にとって、まさに夢が叶った作品, 18.407459
シリーズの中では一番おもしろいです, 18.396964
B・ウィリスはこの映画は本当にはまり役ですね♪すばらしい, 18.271442
ストーリーは予想通りでしたが、迫力＆リアルな映像で充分に楽しめました, 18.262902
ビデオではなくもっとでっかい画面で見たかったな～テンポがよくてそわそわして、最後はハッピー, 18.179935
すると案外に正統派スパイ映画の作りで結構面白かったです, 18.150104
とにかく、Ｂ・ウィリスがすんごくカッコ良かった, 18.150104
今の映画の技術とかに慣れすぎて、気にしなくていい粗がみえてしまう, 18.085102
劇場版ではカイルがでていませんでしたが、（スペシャル版ではでているとか, 17.922775
というSF性や、キャラクターの性格、そしてあの音楽などどれもが魅力的で、ワクワクしてしまいます, 17.885010
ところでこの映画、未来少年コナンを意識してつくったって、本当, 17.870659
うまく言葉が出ないが、これは１０００００％人生生きてて良かったと、思うぐらい最高だった, 17.682701
一緒に潜入した黒人は最後まで味方でしたよね, 17.661369
２のほうが個人的にはより好きですが, 17.598954
死んだように眠ってるだとか、弱い方の手だとか、最高の名台詞が残っている, 17.538594
エンターテイメントとしてこれ以上の完成度を見せる映画は今まで観ていない, 17.500641
海賊映画にしては、面白いのかもしれませんが、個人的にはカット・スロート・アイランドの方が面白いと思う, 17.488561
ちょっと非現実的すぎ、つまり武器使いまくりで豪快、爽快感があふれていたが、やりすぎだ, 17.375811
この頃のシュワちゃんが一番面白かった, 17.356279
この頃のシュワが一番好きだ, 17.356279
吊るされたクルーズがバランスをとろうと手足をカクカク動かすのが、なぜかやたら好きです, 17.257530
その点、こちらの作品はテレビ版ということで時間も有り、十分に原作の良さが生きていると思います, 17.195116
観賞後、テレビドラマをこんなに面白く映画化できるのか、と関心しきりでした, 16.986323
ディズニーの底力を久々に感じさせてくれた一級の娯楽作品, 16.808186
随所に網羅されたネタ（冒頭の時計とか）が非常に面白いしある意味ハラハラしながら観ていたのを覚えてる, 16.520504
見せ場がちゃんとあって、迫力シーンがよかった, 16.195883
２が余りにもガッカリな出来だったので観るのを渋っていたのですが遂に鑑賞, 16.066477
キューブリックのシャイニングに納得できず自分で撮ったらしいが・・キューブリックの圧勝, 15.972249
エンターテイメント性あふれる作品ではあるものの、１９５５年の時代背景など意外にしっかりしている, 15.772251
緊迫感が満点で面白い, 15.766373
でもリンダ・ハミルトンあんま好きじゃないんだよなぁ・・もう何度観たことか・・・, 15.388917
（今では普通ですが）迫力に唖然として見終えました, 15.361237
当時の流行歌でなく、趣のあるスタンダードナンバーで終わるラストも好き, 15.339448
娯楽映画という点ではお金を払って映画館でみても損はしないと思う, 15.327026
